Zipcode,Site ID's,City,Population,Density,Occupancy,Value,Income
98108,"SITE_00059
SITE_00154
SITE_01547
SITE_01557
SITE_01558
SITE_01562
SITE_01584
SITE_01595
SITE_01637
SITE_01645
SITE_01678
SITE_01747
SITE_02052
BLDG_00541
_",Seattle WA,22374,2989,0.93,326.5,52.2
98110,"SITE_01928
SITE_01929
SITE_01935
SITE_01999",Bainbridge Island WA,23025,834,0.89,551.7,95.4
98112,"SITE_00053
SITE_00142
SITE_01723
SITE_01908
BLDG_00012
BLDG_00446",Seattle WA,21077,6667,0.93,754.2,96
98115,"SITE_00054
SITE_00055
SITE_00171
SITE_00173
SITE_01155
SITE_01166
SITE_01214
SITE_01217
SITE_01541
SITE_01567
SITE_01577
SITE_01580
SITE_01589
SITE_01606
SITE_01640
SITE_01648
SITE_01661
SITE_02048
BLDG_00013
BLDG_00014
BLDG_00295
BLDG_00305",Seattle WA,46206,7018,0.94,492.7,84.1
98117,"SITE_01156
SITE_01198
SITE_01570
SITE_01635
SITE_01664
SITE_01669
SITE_01674
SITE_01893
BLDG_00296
_",Seattle WA,31365,7953,0.96,463.5,86.9
98122,"SITE_00061
SITE_00062
SITE_00809
SITE_01159
SITE_01160
SITE_01161
SITE_01594
SITE_01607
SITE_01652
SITE_01712
SITE_01726
SITE_01812
SITE_01813
BLDG_00202
BLDG_00299
BLDG_00300
BLDG_00301
BLDG_00439
BLDG_00447
BLDG_00512
BLDG_00513",Seattle WA,31454,13594,0.91,407.6,53.5
98133,"SITE_00067
SITE_00068
SITE_00135
SITE_00167
SITE_01552
SITE_01571
SITE_01573
SITE_01610
SITE_01617
SITE_01625
SITE_01626
SITE_01629
SITE_01659
SITE_01665
SITE_01679
SITE_01722
SITE_01767
BLDG_00023
BLDG_0047",Seattle WA,44555,6279,0.92,326.4,51.4
98144,"SITE_00143
SITE_00153
SITE_01545
SITE_01565
SITE_01569
SITE_01600
SITE_01627
SITE_01646
SITE_01653
SITE_01660
SITE_01768
SITE_01815
BLDG_00478
BLDG_00515",Seattle WA,26881,7895,0.9,391,55.9
98146,"SITE_01167
SITE_01168
SITE_01581
SITE_01587
SITE_01603
SITE_01642
SITE_01673
SITE_01675
BLDG_00306
BLDG_00307
BLDG_00435",Seattle WA,25922,5573,0.94,308.4,56.8
98223,"SITE_00172
SITE_01077
SITE_01081
SITE_01094
SITE_01213
SITE_01925",Arlington WA,40815,128,0.92,269.2,65.8
98229,"SITE_01194
SITE_01707
SITE_01715
SITE_01743
SITE_01919
BLDG_00458
",Bellingham WA,30321,617,0.91,302.5,59.3
98277,"SITE_01111
SITE_01112
SITE_01122
SITE_01176
SITE_01177
BLDG_00254
BLDG_00255
BLDG_00265
BLDG_00315",Oak Harbor WA,37823,670,0.89,243.4,53.5
98333,,Fox Island WA,3633,696,0.88,462.4,93.1
98374,SITE_01906,Puyallup WA,37360,2358,0.94,243.2,74.6
98409,"SITE_01183
SITE_01184
SITE_01195
SITE_01734
BLDG_00320
BLDG_00321
BLDG_00453
_",Tacoma WA,22989,3234,0.9,166.7,46.8
98422,,Tacoma WA,20151,3017,0.95,318,82.5
98445,SITE_00158,Tacoma WA,29661,2847,0.94,199.3,59.9
98513,"SITE_01199
SITE_01912
SITE_02062",Olympia WA,31975,541,0.93,236.5,68.5
98589,SITE_01763,Tenino WA,7320,80,0.93,217.9,55.7
98801,"SITE_00657
SITE_00664
SITE_00735
SITE_00753
SITE_00778
_",Wenatchee WA,40977,252,0.93,225.9,51.1
98802,"SITE_00647
SITE_00655
SITE_00670
SITE_00736
SITE_00786
BLDG_00166",East Wenatchee WA,28719,160,0.93,220.1,56.8
98837,"SITE_00652
SITE_00671",Moses Lake WA,39722,82,0.91,170.7,49
98840,,Okanogan WA,4851,12,0.88,151.3,45
98902,"SITE_00673
SITE_00674
SITE_00699
SITE_00718
SITE_00790
BLDG_00168
BLDG_00169
BLDG_00184",Yakima WA,46322,5133,0.95,140.5,36.9
98930,SITE_00675,Grandview WA,15252,321,0.95,135.9,44.5
99001,"SITE_00676
BLDG_00170",Airway Heights WA,6151,866,0.89,139.7,36.8
99004,"SITE_00423
SITE_00424
SITE_00440
SITE_00496
SITE_00677
SITE_00716
SITE_00766
BLDG_00117
BLDG_00171
BLDG_00539",Cheney WA,18376,55,0.92,189.2,39.4
99141,,Kettle Falls WA,5240,10,0.83,167.2,38.6
99156,"SITE_00442
SITE_00471
BLDG_00119
BLDG_00142",Newport WA,8114,25,0.73,193,37.1
99206,"SITE_00444
SITE_00445
SITE_00446
SITE_00447
SITE_00448
SITE_00449
SITE_00450
SITE_00462
SITE_00463
SITE_00491
SITE_00504
SITE_00690
SITE_00691
SITE_00727
BLDG_00121
BLDG_00122
BLDG_00123
BLDG_00124
BLDG_00126
BLDG_00127
BLDG_00135
BLDG_00136
BLDG_00182
BLDG_00183
BLDG_00543",Spokane WA,34802,1487,0.94,182.7,49.4
99208,"SITE_00452
SITE_00508
SITE_00662
SITE_00695
SITE_00724
SITE_00764
SITE_00772
SITE_00788",Spokane WA,49193,1001,0.94,210.8,53.8
99224,"SITE_00495
SITE_00650
SITE_00711
SITE_00754
",Spokane WA,18289,156,0.92,226.6,56.1
99336,"SITE_00459
SITE_00460
SITE_00465
SITE_00466
SITE_00467
SITE_00468
SITE_00469
SITE_00475
SITE_00476
SITE_00477
SITE_00478
SITE_00479
SITE_00480
SITE_00481
SITE_00482
SITE_00483
SITE_00708
SITE_00783
SITE_00787
BLDG_00132
BLDG_00133
BLDG_00138
BLDG_00139
BLDG_00140
BLDG_00146
BLDG_00147
BLDG_00148
BLDG_00149
BLDG_00150
BLDG_00151
BLDG_00538",Kennewick WA,48753,3653,0.94,146.1,41.9
99353,"SITE_00429
SITE_00490
SITE_00661
SITE_00769
SITE_00776
BLDG_00158",West Richland WA,13306,511,0.96,194.6,80.5
